# cfs = cubic feet per second
#
# STATION = U.S. Geological Survey station identification number
# trimQ2   =   2-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ5   =   5-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ10  =  10-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ25  =  25-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ50  =  50-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ100 = 100-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ200 = 200-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ250 = 250-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ500 = 500-year peak streamflow in cfs by trimmed mean as explained in text
#
STATION,trimQ2,trimQ5,trimQ10,trimQ25,trimQ50,trimQ100,trimQ200,trimQ250,trimQ500
07332400,9599,18531,25160,34030,41359,48703,56303,58814,66836
07332500,9035,17501,24894,36426,46445,58902,72884,77845,94870
07332600,9131,12759,14436,16288,17374,18325,19177,19435,20192
07332602,2668,3050,3149,3225,3254,3273,3287,3291,3301
07333500,7869,11207,12948,14918,16142,17253,18282,18599,19551
07335310,285,435,511,588,637,677,713,723,753
07335320,3722,5234,5780,6252,6481,6655,6794,6832,6939
07335500,80702,162907,240184,362222,472157,616219,793170,858582,1093072
07336500,34071,48988,58499,69478,77825,85900,93626,96087,103670
07336520,2640,4704,6116,7713,9017,10335,11692,12140,13570
07336710,777,1189,1475,1806,2076,2351,2636,2730,3033
07336750,5587,11437,17141,26877,36309,48594,63901,69642,90550
07336780,2101,3083,3730,4548,5221,5857,6508,6722,7402
07336800,3999,7579,10525,15016,19426,24368,29951,31940,38808
07336940,98.92,157,195,241,277,314,349,360,395
07339800,1089,2381,3406,4859,6084,7357,8722,9185,10720
07340200,1722,2696,3226,3776,4152,4470,4752,4836,5085
07340530,194,347,455,594,707,817,929,965,1080
07341100,2202,4382,6054,8343,10251,12253,14401,15127,17503
07341700,1965,3458,4821,7038,9040,11704,15026,16220,20434
07342350,2918,4476,5432,6496,7292,8026,8718,8935,9593
07342450,123,238,321,420,505,594,690,723,820
07342465,7765,11651,13468,15188,16176,16988,17674,17873,18440
07342470,10260,14508,17918,23018,27533,33036,38890,40950,47972
07342480,3934,6322,7335,8255,8770,9197,9563,9670,9980
07342500,13706,22394,28516,36431,42711,48986,55399,57498,64130
07343000,35375,49804,57876,67382,73528,79257,84698,86430,91697
07343200,31016,45231,54123,64728,72317,79518,86448,88627,95250
07343300,4409,8519,12406,18832,24780,32627,42060,45557,58132
07343350,625,750,787,824,840,851,859,862,868
07343500,12008,22869,30733,40904,49250,58029,66761,69608,78618
07343800,21951,36591,49170,68727,86909,109023,133935,142884,174350
07343900,344,465,532,606,655,699,740,752,789
07344000,29090,52272,68989,91375,108911,126853,145599,151803,171646
07344320,282,475,599,748,855,958,1057,1089,1186
07344450,2694,5638,8477,13329,17963,24033,31490,34267,44301
07344486,1447,3171,4773,7356,9891,13012,16693,18041,22823
07344490,1100,1348,1438,1518,1555,1581,1601,1607,1621
07344500,6913,15126,23132,36893,49761,67144,88989,96905,125342
07344600,505,871,1070,1286,1422,1543,1651,1684,1782
07345000,2530,5869,9377,15828,22365,31096,43290,47832,64696
07346000,6266,14655,22561,34979,45994,60436,78078,84583,107847
07346010,25.70,70.38,114,163,212,270,337,361,444
07346045,3256,6031,8012,10559,12605,14605,16634,17295,19375
07346050,3794,8295,11856,16813,20978,25434,30081,31643,36716
07346070,4230,8816,12879,19286,24965,31825,39695,42495,52123
07346072,143,297,414,550,670,798,936,982,1136
07346140,1498,3400,4878,6809,8454,10319,12203,12811,14765
07346450,3039,4959,5872,6823,7368,7819,8208,8322,8651
07346500,2503,3471,3861,4198,4371,4504,4609,4638,4719
07346800,16.69,35.21,53.73,85.98,121,167,224,246,326
07347000,1361,1970,2446,3146,3767,4422,5155,5415,6303
07351000,3608,6509,8414,10717,12391,13976,15524,16016,17527
07351500,5162,9863,13628,19117,23982,29202,34977,36971,43639
08016700,2481,5019,7264,10787,14109,18004,22592,24251,30118
08016800,3396,5961,8153,11656,15083,18960,23478,25106,30795
08017200,5557,8410,10223,12518,14157,15769,17388,17921,19579
08017300,10494,16363,19218,22000,23627,25006,26205,26561,27591
08017500,14394,34239,54717,85381,112582,150595,198065,215843,280591
08017700,184,300,354,414,452,483,508,516,537
08018500,24563,44554,56593,70119,79267,87632,95460,97889,105182
08018730,2752,3906,4542,5287,5879,6375,6852,7003,7464
08019000,13138,26540,38017,55547,71236,89409,110168,117511,142853
08019500,2803,6078,9284,14817,20430,27401,36336,39700,52009
08020000,19219,44024,65159,93322,117266,145540,177634,188915,227361
08020200,899,2205,3394,5094,6583,8507,10788,11617,14535
08020500,13563,19805,22436,25199,26830,28098,29097,29384,30185
08020700,2238,5279,8060,12490,16518,21827,28215,30416,38046
08020800,730,1179,1834,3253,4922,7333,10909,12555,19523
08021000,4355,8214,10578,13305,15447,17574,19711,20404,22579
08022010,97.76,195,331,619,954,1434,2175,2505,3876
08022040,20475,45091,66322,96296,121863,152944,188820,201584,245621
08022400,1541,3240,4778,7128,9302,11882,14826,15875,19491
08022500,18201,32961,44098,58403,70028,82719,96430,101094,115746
08022680,61.30,119,166,225,278,336,401,424,500
08023000,2024,3715,4947,6568,7903,9263,10656,11115,12576
08023200,2763,6311,9688,15278,20391,27194,35613,38572,49038
08023400,3718,7958,11502,16692,21146,26243,31733,33623,39911
08023424,189,343,425,514,568,616,659,672,710
08023500,2390,5262,7935,12318,16368,21438,27573,29829,37789
08024000,2226,5301,8236,12909,17145,22755,29728,32322,41680
08024030,2340,5475,8440,13319,17745,23609,30930,33529,42543
08024080,1074,1764,2426,3541,4589,6039,7936,8662,11243
08024200,2360,4937,7497,11331,14680,19217,24756,26807,34178
08024290,145,250,318,405,473,540,607,629,699
08024400,23684,42078,57617,78971,96961,118291,142560,151104,180270
08024500,2073,4856,7833,13112,18338,25364,35088,38878,53238
08025400,3068,8267,13605,21268,28214,37512,48892,53111,68299
08025500,3933,8785,13604,21561,28750,38339,50521,55089,71732
08026700,2205,4644,6573,8911,10954,13165,15578,16404,19146
08027200,2450,4963,6872,9280,11311,13548,15987,16821,19588
08027500,4957,13479,21680,33541,43942,57811,74533,80675,102570
08028500,32611,50824,64996,85070,101838,120638,141012,147973,171023
08028505,110,167,197,233,256,275,294,299,316
08028700,755,1287,1826,2801,3786,5111,6876,7544,10057
08029500,2920,6029,8799,12899,16393,20763,25883,27725,34147
08030000,2115,3499,4562,6087,7348,8725,10252,10774,12507
08030500,37766,57716,71942,90286,105033,120210,135778,140916,157296
08030700,94.41,186,376,997,1876,3320,5694,6745,11054
08031000,1366,2413,3251,4400,5353,6449,7674,8101,9465
08031100,173,328,462,669,855,1092,1379,1484,1858
08031200,3408,6932,9709,13589,16772,20161,23793,25021,29029
08032000,8084,16019,22432,31645,39831,48695,58540,61954,73410
08032100,38.41,55.86,73.61,104,134,175,229,250,330
08032300,196,264,291,314,326,334,341,343,348
08032500,8683,19266,28361,40616,51162,63818,78319,83449,101048
08033000,11491,22123,30111,40988,49619,58668,68201,71383,81650
08033250,179,416,585,787,966,1146,1308,1360,1524
08033300,1557,3543,5111,6927,8535,10267,12147,12789,14912
08033450,135,247,314,387,444,496,543,557,600
08033480,43.49,85.86,126,192,254,339,448,490,637
08033500,14491,25990,33837,43034,50506,57989,65222,67559,74784
08033700,4149,7831,10406,13247,15638,18080,20614,21454,24150
08033900,3766,8411,12226,17773,22537,27821,33455,35384,41761
08034500,4839,10861,16235,24563,31964,41457,52880,57052,71819
08037000,8151,16957,24032,33982,42361,52207,62715,66205,77695
08037050,2113,4445,6479,9635,12434,15754,19576,20936,25623
08037300,98.68,218,319,469,598,756,926,982,1172
08038000,7019,14393,19672,26535,31770,36983,42275,44007,49472
08038500,9470,20402,31162,46512,60694,79268,101819,110137,139924
