# cfs = cubic feet per second
#
# STATION = U.S. Geological Survey station identification number
# trimQ2   =   2-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ5   =   5-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ10  =  10-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ25  =  25-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ50  =  50-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ100 = 100-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ200 = 200-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ250 = 250-year peak streamflow in cfs by trimmed mean as explained in text
# trimQ500 = 500-year peak streamflow in cfs by trimmed mean as explained in text
#
STATION,trimQ2,trimQ5,trimQ10,trimQ25,trimQ50,trimQ100,trimQ200,trimQ250,trimQ500
08098300,3015,5462,6945,8628,9911,11025,12059,12380,13346
08099350,47.81,70.30,94.64,140,187,252,347,386,535
08099500,9438,20249,28434,38034,46279,55047,64443,67622,78047
08100000,3963,6596,9793,16223,23588,33578,47870,53421,76854
08100100,265,529,770,1080,1379,1733,2144,2291,2804
08100400,56.51,119,175,260,340,434,541,580,714
08100500,9352,23465,36488,54959,71121,92023,116833,125844,157600
08100800,420,1201,1787,2650,3455,4463,5699,6155,7798
08101000,12360,28098,42023,63184,83339,106488,132788,142126,174214
08102500,17018,28348,36831,47947,57014,66963,77429,80883,92076
08102900,50.29,66.89,73.48,79.43,85.02,88.04,90.60,91.34,93.44
08103900,2872,6921,10439,15595,20405,25774,31765,33863,40965
08104000,16238,32258,45748,66165,85224,106591,130934,139550,169092
08104700,6397,15780,24448,37758,50852,66364,84211,90631,112991
08104850,614,1744,3007,5031,6829,9437,12848,14151,19016
08104900,6816,15136,22373,33448,43590,55338,68676,73402,89607
08105000,12824,28133,41993,65562,89557,118464,153259,166130,212361
08105100,4061,7663,9976,13102,15355,17535,19694,20386,22537
08105400,18159,34640,46097,59071,69841,80855,92289,96079,108259
08105700,14608,23566,28298,33191,36214,38829,41147,41842,43869
08105900,548,898,1375,2430,3688,5487,8149,9292,14535
08106500,27258,67916,114823,209431,317142,463149,686223,773565,1116212
08108200,3475,5358,6209,7069,7554,7955,8294,8393,8671
08108800,60.86,85.96,96.86,107,113,117,121,122,125
08109000,67458,104305,132100,167541,196601,228033,261928,273443,311349
08109700,1907,5028,7516,10880,13775,17183,20754,21851,25357
08109800,2120,4967,7206,10344,12979,15617,18464,19436,22602
08110000,7315,17021,25306,37286,48240,60348,73805,78490,94262
08110100,3992,9044,13131,19020,24052,29626,35491,37494,44084
08110350,1252,1731,1967,2198,2344,2466,2569,2600,2687
08110430,2331,4844,6996,10289,13431,17018,21150,22627,27750
08110500,16119,31623,43752,60745,75161,90186,106353,111821,129684
08111100,314,552,693,876,1004,1127,1248,1288,1409
08111700,13572,24795,32378,41775,48779,55547,62237,64380,71028
08114000,62828,83492,94624,106470,113981,120567,126410,128155,133209
08114900,296,388,431,473,499,521,540,545,561
08115000,2508,4021,5144,6707,7979,9335,10799,11297,12933
08115500,951,1599,2121,2876,3524,4242,5051,5333,6287
08116400,688,1046,1339,1782,2183,2622,3136,3320,3949
08117500,7918,13870,18140,23395,27638,32115,36772,38258,42989
08117995,1366,2262,2728,3220,3518,3776,4003,4071,4270
08119000,918,1689,2297,3265,4193,5233,6396,6809,8230
08120500,2044,4566,7031,11340,16029,21998,29400,32203,42570
08121500,1589,4652,8707,16931,26171,38858,58661,67222,101568
08123500,4067,7575,9599,11830,13456,15013,16531,17014,18506
08123620,44.54,118,175,254,321,400,488,519,623
08123650,58.65,139,199,277,341,405,470,492,561
08123750,404,769,1010,1283,1508,1736,1956,2024,2237
08123760,66.58,173,253,343,424,509,601,632,734
08123800,2271,4748,6536,8753,10639,12498,14302,14887,16727
08123920,52.94,239,470,910,1375,1975,2936,3329,4874
08124000,21482,28185,31037,33578,34920,35953,36770,36998,37620
08126380,19139,29466,36213,45252,51787,58315,64961,67138,74047
08127000,6073,14169,22137,35292,47207,63069,83132,90647,117972
08127100,145,450,721,1116,1463,1916,2457,2655,3353
08128000,2574,10656,20775,41442,63874,94012,140045,158817,227586
08128400,2525,6616,9555,13278,16201,19086,22066,23052,26213
08128500,9771,18293,23348,29076,32914,36426,39749,40789,43953
08129300,563,3144,6951,14186,21688,31290,46793,53443,79891
08130500,1549,5316,9224,14849,19866,26825,35456,38677,50362
08131000,8528,19376,28766,43343,57143,73011,91387,97928,120573
08131400,362,1885,4284,9674,16348,26341,39416,45457,72463
08133300,231,486,818,1554,2393,3589,5469,6309,9812
08133500,1334,4433,7619,12790,17579,24011,32486,35707,46244
08133800,50.75,142,222,312,397,491,597,634,758
08134000,4191,14946,26942,48638,70470,99665,138968,153423,206835
08134300,38.38,132,236,365,492,663,874,952,1236
08134400,16.56,30.28,43.44,64.72,84.32,110,143,155,199
08135000,8376,22504,35157,51853,67069,85645,107281,115031,141961
08136000,18160,39393,56406,80518,100886,124851,152064,161063,190646
08136200,64.01,98.54,120,146,165,183,201,206,223
08136500,15482,33060,47566,68084,85479,106237,129977,138365,167098
08136900,773,1176,1460,1797,2074,2361,2661,2761,3084
08137000,346,707,1023,1499,1913,2436,3055,3270,3991
08137500,2591,6505,10106,15392,19990,25986,33143,35752,44987
08138000,28170,40253,47813,57481,64267,70886,77584,79773,86626
08139000,329,711,1136,1945,2765,3870,5470,6107,8564
08140000,433,1241,2179,4004,5908,8456,12323,13868,19904
08141100,481,612,657,698,716,730,740,743,750
08143500,13620,21889,27873,35136,41129,47473,54200,56461,63826
08143700,98.56,240,376,603,813,1086,1416,1539,1981
08144500,5997,21990,39390,68402,96000,132805,184044,203690,266123
08144600,5431,19315,34247,57725,78697,108903,148233,163222,219015
08145000,4924,10307,16037,26840,38314,53704,75065,83320,114738
08145100,70.11,198,455,1522,3183,5979,10619,12695,21552
08146000,11114,30004,50356,86912,122198,169266,234713,259974,355232
08147000,26605,47873,70064,109506,147759,199205,269017,296022,397801
08148500,11730,34558,54891,82476,107065,137941,174146,187183,227998
08150000,15969,53335,91268,149986,202374,275162,367212,401830,526118
08150200,16.09,36.32,57.51,94.41,131,179,245,271,367
08150700,24845,71699,113396,177482,233087,297966,371470,397383,485859
08150800,5868,15170,23496,36305,48005,62002,77987,83681,103326
08150900,134,208,235,258,269,278,285,287,292
08151000,42977,105140,168671,281881,393362,544185,734429,806373,1071315
08151300,390,591,681,778,834,881,923,936,972
08151500,31202,80838,123285,184595,237330,303143,373686,397059,474450
08152000,8300,18715,28547,45334,62976,84784,111495,121492,157872
08152700,232,724,1194,1942,2607,3516,4653,5078,6624
08152800,503,1359,2739,5902,9813,15792,24523,28617,47238
08152900,6957,22103,37152,60747,81557,110809,147581,161398,206666
08153000,9786,18186,24307,31900,38251,45071,52386,54863,62986
08153100,49.72,140,230,343,460,604,778,842,1069
08153500,22721,57470,91460,148487,208063,282758,372969,406395,527123
08154000,15247,47152,81648,141733,200613,278505,388681,431260,592451
08154700,3112,6369,8941,12493,15588,18842,22386,23596,27592
08155200,3032,8465,13265,20597,26862,34279,42564,45475,55372
08155240,2866,8956,14785,24045,32291,43600,57784,62489,78405
08155300,3781,9625,14158,19583,24531,29942,35910,37731,43415
08155400,3286,9094,15079,22303,29387,38280,48872,52729,66358
08158000,49667,99542,151344,246010,338406,462689,632783,698840,948852
08158700,3940,8717,11764,15351,17907,20304,22642,23387,25694
08158810,1200,3844,6239,9888,13095,16936,21121,22604,27698
08158840,1061,2647,3823,5291,6585,7948,9175,9573,10835
08158900,42.24,82.84,128,215,307,428,614,689,963
08158922,564,1238,1844,2778,3602,4666,5944,6411,8066
08159150,571,910,1149,1480,1751,2027,2320,2418,2739
08159450,179,665,1390,2969,4847,7589,11689,13585,21606
08159500,85163,178284,257518,368111,463552,580232,715027,763017,928699
08160000,314,815,1222,1725,2177,2687,3258,3457,4127
08160800,1883,3044,3764,4572,5186,5744,6278,6446,6944
08161000,53039,96690,130815,178227,217085,258160,302175,317064,365625
08161580,131,291,410,567,696,825,958,1003,1144
08162600,5394,8063,9875,12277,14068,15935,17870,18508,20518
08163500,7809,17329,25760,38961,50805,64830,80973,86709,106428
08164000,11704,25108,37814,59644,82253,110088,144198,156945,203261
08164300,10318,20291,27338,36401,43309,50214,57205,59480,66639
08164350,7734,14247,19030,25462,30925,36755,42707,44706,51211
08164390,8373,15458,20324,26488,31523,36737,41807,43443,48490
08164450,5538,11685,18058,29716,41918,58589,80483,88927,120700
08164500,13078,26174,38058,57100,75382,97413,123170,132526,165961
08164503,4642,8646,11883,16525,20495,25107,30073,31784,37481
08164504,2491,4004,4989,6284,7362,8378,9424,9769,10871
08164600,4896,9701,13296,18077,21986,25957,30108,31486,35912
08164800,5729,10042,12884,16376,18932,21373,23759,24519,26861
08165300,7087,21221,32865,48436,62390,79221,98630,105531,124543
08165500,9503,28826,45590,70065,91410,118916,148583,157930,188924
08166000,2005,9577,20375,41953,65153,95954,143510,164390,247903
08166200,10151,37109,65812,108366,146391,200414,268800,294587,389359
08166300,78.26,125,157,201,237,273,312,325,366
08166500,11691,47454,96093,190782,291612,422889,629206,718346,1072124
08167000,12871,39144,66148,111027,153050,209283,283485,311680,410850
08167500,13246,35132,57233,93214,125846,169470,225235,246196,322795
08167600,1980,5218,7436,10185,12470,14490,16553,17228,19370
08168500,9415,26498,44662,75832,105468,144967,198730,219339,296448
08168720,88.16,297,666,1554,2685,4450,7111,8235,13735
08168750,68.02,214,418,853,1365,2106,3266,3787,5959
08169500,15298,35733,51004,68522,84102,100721,118617,124691,144666
08169750,662,1503,2290,3562,4729,6276,8209,8930,11538
08169850,88.38,146,183,226,259,292,326,337,372
08170500,620,1846,4216,11283,20956,36633,62087,72698,118001
08171000,9099,25822,42174,69638,95946,129973,170514,185432,238695
08171300,11668,31850,49606,76825,100672,128547,159228,169986,206975
08172000,10455,26930,43324,71790,98925,134924,178872,194998,253317
08172100,186,403,575,813,1014,1247,1511,1603,1897
08173000,6911,18340,29900,47931,63994,85574,112647,122770,159546
08173500,12980,38021,68784,132238,199207,288298,429322,487014,714982
08174600,7457,17413,27354,44803,61801,84489,112650,123250,161951
08175000,4223,13731,24657,44901,65190,91816,131509,147081,206920
08176000,16018,39317,62113,95533,124517,162950,209231,226215,286709
08176200,2944,5193,6257,7408,8200,8919,9581,9784,10390
08176500,18394,42348,64451,100310,132284,174143,221550,238616,297999
08176550,4084,7986,10588,13732,16041,18240,20386,21069,23174
08176600,61.55,210,425,892,1446,2254,3493,4057,6432
08176900,10547,22043,29457,38108,44325,50132,55738,57513,62966
08177000,11174,28490,44276,69274,91806,119679,151517,162919,202368
08177300,3275,7587,11313,17132,22650,28991,36372,38999,48105
08177500,9638,26690,43710,72150,98942,134782,181578,199316,264777
08178500,648,1104,1399,1780,2061,2341,2625,2718,3012
08178600,559,2249,4654,9057,13551,19262,28820,32801,48469
08178640,362,585,707,859,958,1049,1136,1164,1246
08178736,277,388,469,577,668,770,878,914,1032
08178880,5268,22558,44283,85739,130024,187701,279561,317231,465374
08179000,10210,27141,46780,85701,129298,191287,282054,317822,457630
08179100,2500,7476,12826,22016,32615,46509,64844,71769,97782
08179200,145,269,357,469,558,648,743,774,876
08181000,224,775,1294,1953,2612,3445,4445,4810,6109
08181200,193,427,662,1062,1454,1991,2712,2990,4037
08181400,690,2636,4865,8572,12157,16888,23618,26220,36087
08182400,1282,2843,3972,5377,6535,7627,8740,9103,10248
08183900,4772,12588,19649,30714,40578,53426,69014,74260,91609
08184000,3117,9875,15362,22181,28906,36690,45653,48528,56591
08185000,3769,15948,29297,51341,71956,100522,140433,155843,214236
08186000,8073,15738,21810,30368,37351,44836,52880,55599,64482
08186500,1894,5327,10401,22314,38221,64381,105708,123222,202547
08187000,919,1929,2785,4062,5182,6549,8030,8546,10287
08187900,439,1609,3330,7446,12377,19789,30746,35990,58438
08188400,435,1114,1884,3316,4824,6872,9902,11121,15874
08189200,1095,2241,3108,4280,5232,6218,7257,7603,8723
08189300,1206,3574,8106,18834,33932,61938,112990,135348,231314
08189500,5692,14291,22906,37926,54357,75541,102200,112250,149414
08189600,292,495,622,775,885,991,1094,1127,1227
08189700,3687,10575,18723,34835,54361,82575,123783,140724,204765
08189800,2781,7027,11211,18136,25440,34611,45979,50229,65635
08190000,12379,45896,83377,149742,215875,302345,425708,468423,624084
08190500,7144,31207,58416,108042,158660,224364,324688,364166,495920
08191500,18531,87858,195137,433369,718068,1137139,1682250,1944888,3056308
08192000,12198,49567,94165,179463,270276,382403,555662,620682,866074
08192500,1743,3308,4132,4967,5488,5948,6365,6493,6871
08193000,5001,9513,14501,23526,32793,45339,63350,70481,97952
08194000,7656,19108,31590,54192,76365,105942,147689,163870,225227
08194200,2342,7466,14571,30242,47359,71003,107115,123135,188423
08194550,44.70,102,156,240,321,422,540,583,735
08194600,7248,21248,37214,64739,91737,127115,178577,198574,274847
08195000,9765,30918,51094,83282,112288,151169,197261,212604,265678
08196000,4371,15612,28232,51853,76530,107780,152898,169793,233113
08197500,11627,38261,64092,102905,142625,189953,244610,264377,333858
08198000,5684,15704,25452,41355,58052,78970,104169,113510,147198
08198500,5872,20224,35125,60620,85070,118052,159057,174155,229011
08198900,227,683,1544,3602,6263,10487,16740,19359,31936
08200000,6337,19096,31994,52388,73951,100631,132504,144195,185961
08200500,5062,16022,28701,52027,76541,112362,161674,180738,254134
08200700,7008,21165,33665,51477,68411,87306,108173,115486,140327
08200900,71.92,203,323,482,633,821,1044,1124,1408
08201500,3031,11097,19711,34679,49349,68749,96219,106836,143992
08202000,1640,7209,16989,39712,67575,109237,168631,193987,315503
08202500,1839,6868,15687,37146,64431,106989,171128,198200,331667
08202700,4808,16507,27310,43681,58171,75705,95261,102216,126241
08203500,13.91,38.77,75.50,163,267,425,656,763,1247
08205500,5130,14983,26320,48108,74325,110817,163857,184266,263582
08206600,4223,10975,16609,24824,31867,40564,49286,52236,61986
08206700,3862,9023,13350,19664,25082,31710,38849,41248,49241
08207000,6810,14970,23056,37130,50924,69190,92007,100567,131802
08207200,898,2423,3627,5300,6715,8377,10105,10623,12266
08208000,4399,11335,18889,33041,48057,68124,96167,106812,146937
08210000,13265,28536,43075,67288,89153,118171,154500,168082,215623
08210400,69.75,406,1035,2579,4549,7567,12058,13897,22718
08211000,15175,28945,37839,47991,56150,64319,71784,74157,81340
08211520,2891,5083,6548,8489,9958,11420,12911,13400,14946
08211550,251,641,951,1372,1736,2109,2507,2641,3077
08212400,409,1510,2702,4561,6600,9091,12217,13351,17492
08365800,280,413,477,540,576,606,631,638,659
08370200,45.66,112,154,203,243,284,327,341,385
08370800,44.81,142,232,334,433,547,678,724,882
08374000,7464,12743,17199,24247,30564,37654,45887,48829,58943
08374500,13357,20906,25305,30203,33450,36388,39084,39908,42349
08376300,4727,13882,22220,34550,45763,58836,73348,78462,95930
08377500,25999,49476,70694,105079,135872,175654,222010,238769,297554
08377600,77.40,120,137,152,160,167,172,173,178
08383200,89.67,169,228,302,363,430,502,527,603
08383300,1902,3034,3588,4155,4487,4761,4998,5068,5268
08383370,97.13,256,453,875,1386,2085,3180,3646,5559
08385530,35.09,125,260,560,946,1615,2642,3079,5034
08385600,1273,3404,5783,10370,15290,21766,31333,34944,48601
08393200,678,2303,4102,7460,10909,15537,22287,24949,35081
08393600,14.48,81.68,193,465,795,1291,2004,2312,3776
08393900,198,1132,2549,5266,8209,12113,18079,20736,31456
08394500,4964,13319,20601,31185,41134,52269,64689,69040,83789
08396500,9887,20832,30476,43889,55316,69282,85418,91163,110997
08400000,402,2357,5244,11296,18181,27511,39981,45683,68953
08401200,1325,5787,11216,19870,27486,39104,54985,61136,84541
08401800,5014,15589,27239,48468,70304,99647,142035,158718,223274
08401900,2365,8846,15202,25029,33811,45624,58281,62879,79133
08405050,107,263,396,578,733,919,1132,1207,1466
08405100,1668,3321,4629,6792,8802,11009,13556,14463,17592
08405500,2215,7557,13780,25790,38130,54488,79366,89263,127810
08407800,8.39,37.26,83.15,376,1086,2287,4027,4726,7487
08408500,2709,8927,16452,31069,46049,65751,96176,108294,155724
08411500,1873,5193,9587,18546,29898,47560,72867,83743,128063
08424500,1217,2610,3632,4994,6053,7131,8251,8620,9797
08431700,579,1774,2984,5002,7006,9641,12853,14045,18374
08431800,1841,3126,3973,5049,5852,6654,7456,7716,8535
08433000,792,3093,5812,10730,15737,22885,32752,36424,50232
08435700,98.95,307,489,773,1028,1358,1687,1807,2225
08435800,669,1982,3855,8073,13414,21232,32771,38157,60970
08436800,30.65,59.04,80.46,111,139,168,200,211,248
08444400,72.87,123,180,293,415,578,836,945,1377
08447020,1767,10260,25160,59991,98571,152708,224250,258931,413873
08447200,217,855,1581,2504,3541,4928,6739,7430,10009
08447400,19344,55803,97128,177552,271765,401191,586158,656760,930058
08449000,15026,58523,108335,200411,295683,420611,611041,686386,953904
08449400,33134,105262,170131,248633,325762,417212,523493,561505,693353
08449470,620,2552,5023,9345,13629,19232,28092,31587,45286
08449500,17925,77677,161732,331777,513171,753636,1127637,1290221,1936873
08449600,103,200,271,366,440,514,590,615,694
08450500,35946,75420,100001,127713,147104,165047,182263,187699,204367
08450900,41941,102962,202282,434066,743231,1249606,2019010,2341670,3819547
08452500,38126,98449,178173,359080,576061,874347,1335783,1539893,2385878
08453000,6019,12952,19154,29175,39051,50706,64621,69688,87453
08453100,168,520,963,1827,2763,4004,5971,6783,9984
08454900,53.36,180,331,615,914,1313,1922,2165,3116
08455000,3721,12187,23333,46374,76037,122204,190039,219368,340418
08458000,54062,137093,231091,408213,583619,816895,1156407,1289238,1798071
08458700,38958,107499,211151,465287,772009,1238660,1919566,2250841,3680718
08459000,55636,119592,183649,296312,404564,549242,740438,813548,1075285
08459600,442,586,626,652,663,671,676,678,682
08460500,68557,126746,177232,254962,324831,413903,521224,558354,686783
08464700,81799,126876,155219,188727,213116,235821,257628,264480,285274
08466100,87.73,117,127,135,139,142,144,144,146
08466200,69.45,131,173,221,260,301,343,356,398
