# This data file contains the watershed characteristics derived
# from Asquith and Slade (1997) and a digital processing and 
# verification step conducted by colleagues at Texas Tech University
# in 2007.
#
# These watershed characteristics were used in multi-linear regression
# analysis described in Asquith and Roussel (2009).
#
# STATION = U.S. Geological Survey station identification number
# CDA = contributing drainage area in square miles
# MCS = dimensionless main-channel slope
# MAP = mean annual precipitation in inches
# YRS = years of record used
STATION,CDA,MCS,MAP,YRS
08027500,115,0.0015,56,17
08028500,8229,0.00028,47,37
08028505,3.77,0.00538,54,8
08028700,13.1,0.00216,56,27
08029500,128,0.00228,52,54
08030000,69.2,0.00085,55,32
08030500,9329,0.00027,48,48
08030700,12.4,3e-04,57,8
08031000,83.3,0.00049,56.5,37
08031100,1.09,0.00682,41.5,9
08031200,232,0.00082,40,28
08032000,1145,6e-04,41,23
08032100,0.39,0.0117,40.5,8
08032300,1.57,0.00898,42,8
08032500,1945,0.00042,41,18
08033000,2724,0.00035,43,25
08033250,1.17,0.0052,43,8
08033300,79,0.00144,43,28
08033450,0.52,0.00798,44,8
08033480,0.15,0.03198,47,8
08033500,3636,0.00032,43,57
08033700,146,0.00177,44.5,9
08033900,158,0.00141,45.5,26
08034500,376,0.00098,43,10
08037000,1600,0.00052,44.5,27
08037050,31.3,0.00255,45,27
08037300,0.9,0.02128,46,8
08038000,503,0.00084,47,67
08038500,2892,0.00039,45,9
08039100,89,0.00191,48.5,47
08039500,3486,0.00045,45.5,26
08039900,0.46,0.01434,51,8
08041000,7951,0.00027,44,32
08041400,5.03,0.00531,52,8
08041500,860,0.00085,51,70
08041700,336,0.00043,51,38
08042000,262,0.00023,53,33
08042500,128,0.00029,54,30
08042550,6.25,0.00034,49,8
08042700,21.6,0.0053,27.5,25
08042800,683,0.00101,27.5,51
08043500,1147,0.00086,28,23
08043950,312,0.0016,29,19
08044200,2.95,0.00973,31.5,9
08044800,75.6,0.00437,31.9,14
08045500,2069,0.00073,30,8
08046000,251,0.00228,30.5,9
08047500,518,0.00212,30.5,27
08048900,5.86,0.00622,32,8
08048970,84.5,0.00293,33.6,17
08049550,29.6,0.00317,31.5,13
08049580,25.5,0.00232,34,21
08049700,62.8,0.00285,32,46
08050000,273,0.00208,33,9
08050200,0.77,0.01008,33,17
08050300,46,0.003,33.75,17
08050400,174,0.0042,33,20
08050500,381,0.0027,32.5,17
08050800,38.8,0.00249,35,21
08050840,29.2,0.00178,37.7,14
08051000,266,0.00158,35,37
08051500,295,0.00192,33,58
08052630,2.1,0.00753,37.5,11
08052700,75.5,0.00196,37.5,9
08053100,1.7,0.02199,31,9
08054000,621,0.00146,32,21
08054200,0.5,0.00758,33,9
08055500,2459,0.00099,34,27
08057000,6106,0.00069,32,33
08057500,2.14,0.01025,38,21
08058000,1.26,0.01438,38,25
08059200,0.52,0.01448,39,9
08061500,840,0.00143,39,29
08061540,120,0.00229,36,38
08062850,13,0.00164,38,8
08063000,733,0.00093,39,16
08063005,0.9,0.00665,40,9
08063180,0.72,0.00631,36.5,9
08063500,734,0.00154,35,23
08063550,0.84,0.00188,33,9
08063620,0.62,0.00808,36,10
08064500,963,0.00119,36,26
08064630,0.22,0.01684,39,8
08064700,142,0.00204,38,39
08065200,150,0.00157,40,44
08065320,4.26,0.00548,41.5,8
08065700,112,0.00195,40,13
08065800,321,0.00148,41,38
08066100,222,0.00174,43,20
08066170,57,0.00242,44,40
08066200,141,0.00203,47,43
08066280,0.62,0.00868,48.5,8
08066300,152,0.00143,48,40
08066400,38.8,0.00344,47,24
08067500,64.9,0.00053,49,34
08067550,2.35,0.00393,43,9
08067750,0.13,0.01994,43,9
08068000,828,0.00096,43.5,37
08068300,4.07,0.00354,43,8
08068450,34.5,0.00111,45.4,11
08068500,409,0.00116,44,67
08068720,110,0.00111,42.5,30
08068740,131,0.00094,43,31
08068780,41,0.00111,44,23
08068800,214,0.00095,44,23
08069500,1741,0.00079,43,26
08069850,1.46,0.00845,46,8
08070000,325,0.00104,45,66
08070200,338,9e-04,45,21
08070500,105,0.00166,43,62
08071000,117,0.00188,46,41
08071280,218,0.00117,48,21
08071500,2800,7e-04,45,17
08072300,63.3,0.00077,43,28
08072700,32.3,0.00099,44,10
08072730,21.5,0.00094,43,28
08072760,24.6,0.00079,44,28
08072800,48.9,0.00091,44,11
08074020,34.5,8e-04,44,21
08074100,7.05,0.00132,44,8
08074900,11.2,0.00388,44,8
08075300,3.81,0.00374,44,8
08075600,1.58,5e-04,48,8
08075700,4.86,0.00262,48,8
08075750,1.2,0.00349,48,8
08077550,18,0.00077,48,9
08078000,87.7,0.00052,50,59
08079500,200,0.00141,17.5,12
08079570,4.99,0.01208,19,9
08079575,438,0.00173,19,10
08079580,2.77,0.01004,19,9
08079600,244,0.00316,19,44
08080500,1864,0.0014,19,34
08080510,3.02,0.00552,22,10
08080540,79.2,0.00634,20,13
08080700,382,0.00172,17,40
08080750,8.37,0.00047,19,9
08080918,65.1,0.00406,20.5,9
08080950,279,0.00293,20.3,25
08081200,290,0.0036,21,27
08081500,64.3,0.00441,21.5,21
08082000,2496,0.00163,19,26
08082100,88.8,0.00202,22,18
08082180,251,0.00224,22,21
08082500,5972,0.0014,20.5,39
08082700,104,0.00133,24.5,42
08082900,3.58,0.00702,25,9
08083100,228,0.00248,22.5,44
08083240,1416,0.0014,23,22
08083245,205,0.00335,23.5,21
08083400,39.1,0.00622,23.5,16
08083420,13,0.0026,24,15
08084000,2199,0.00128,23,14
08084800,478,0.00144,23,43
08085300,3.51,0.00361,24.5,9
08085500,3988,0.001,23,14
08086050,228,0.00312,25,17
08086100,454,0.00261,25,14
08086150,39.3,0.00687,25,28
08086212,613,0.00241,25,39
08086260,26.4,0.00507,26,9
08086290,280,0.00153,26.5,44
08086300,298,0.00163,26.5,14
08087300,5697,0.00091,23.5,31
08088100,11.8,0.00249,26,20
08088300,24.2,0.00292,27.5,31
08088450,97,0.00255,27.5,25
08089100,1.1,0.00927,29,9
08090500,573,0.00193,29,14
08090850,3.37,0.01036,30.5,9
08091500,410,0.00258,30,32
08091700,7.82,0.00661,30,9
08092000,282,0.00248,32,17
08093200,0.36,0.00598,34,10
08093250,57.9,0.00173,34,13
08093500,308,0.00155,34,44
08093700,95.9,0.00297,28.1,21
08094000,4.19,0.00785,29,23
08094800,359,0.00231,28.6,43
08095000,968,0.00184,30,83
08095200,1146,0.00177,30,47
08095220,15.9,0.00539,34,8
08095250,2.52,0.00483,34,8
08095300,182,0.00367,32,46
08095400,78.2,0.00326,32.5,17
08096550,0.34,0.01184,34,9
08096800,5.04,0.00831,34,18
08098203,0.9,0.00622,36,32
08098206,1.73,0.00539,36,33
08098227,0.21,0.01145,36,37
08098239,0.48,0.00956,36,36
08098242,6.84,0.0034,36,24
08098263,0.28,0.01232,36,38
08098281,0.2,0.01073,36,38
08098300,23,0.00228,35,24
08099350,0.48,0.01347,27,9
08099500,1261,0.00177,27,24
08100000,1891,0.00135,27.2,8
08100100,2.91,0.01401,28,9
08100400,0.5,0.02791,32,8
08100500,2342,0.0011,28,12
08100800,5.56,0.01123,27.5,9
08101000,455,0.00251,28,56
08102500,3542,0.00096,28,30
